uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_97fd72a228,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,3.5344,0.7119046565376573,4.843,1.0662324324461339,7.920400000000001,0.37283111458138796,8.9536,0.976729768154939,1999.0,40.0,79940.0,2000.0,10.0,2456627.8
t_s_iv_n_15c2498875,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,5.8636,0.11930733422552038,7.7978,0.3779541771167504,15.210399999999998,0.15827393973740597,16.8936,0.6084286646764757,3999.0,40.0,159940.0,4000.0,10.0,4909106.4
t_s_iv_n_e400a7d000,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,8.460199999999999,0.23879229468305688,10.916,0.17381139203170812,25.346600000000002,1.32157430362428,22.872000000000003,0.41868890599107106,5999.0,40.0,239940.0,6000.0,10.0,7364399.8
t_s_iv_n_06a313be6e,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,11.295399999999999,0.9124224021800426,14.834999999999999,1.1763123734790857,34.244800000000005,4.292298004565851,33.0618,4.82371538961411,7999.0,40.0,319940.0,8000.0,10.0,9815076.0
t_s_iv_n_3bb6ab011a,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,14.0882,0.4373421543825839,20.515600000000003,4.933248365934966,41.2882,1.0530354979771586,53.29540000000001,29.985751020109532,9999.0,40.0,399940.0,10000.0,10.0,12269940.4
t_s_iv_n_937760cb5e,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,16.4582,0.5183066273934763,21.393,0.3976873143563928,48.7554,3.559588717815585,44.705799999999996,1.3571787502020498,11999.0,40.0,479940.0,12000.0,10.0,14726001.8
t_s_iv_n_36285d2ad6,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,19.451,0.3886638650556548,25.534399999999998,0.22504275149402142,53.61220000000001,0.23495650661345746,54.267399999999995,0.9643050554674096,13999.0,40.0,559940.0,14000.0,10.0,17183979.0
t_s_iv_n_3574fe6787,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,22.3376,0.4286609849286491,29.322000000000003,0.5246450228487828,62.331999999999994,1.751826018758711,61.585,0.9310162189779516,15999.0,40.0,639940.0,16000.0,10.0,19640837.2
t_s_iv_n_a3e46fb417,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,24.901400000000002,0.4263278550599302,33.1052,0.6663300683595191,69.4322,0.30264064499006493,69.4744,0.5052605664407201,17999.0,40.0,719940.0,18000.0,10.0,22094546.2
t_s_iv_n_0918b51731,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(15, 10)",dataset_size,29.503000000000004,2.9040250687623206,36.49059999999999,1.275583881992869,78.80499999999999,1.3039688646589676,80.0866,5.228314588851748,19999.0,40.0,799940.0,20000.0,10.0,24546035.0
