uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_9d4416dd6b,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,3.3706000000000005,0.2535891164857041,4.467,0.6769673551952118,2.0833999999999997,0.24446071258997837,2.0106,0.12224336382806231,1999.0,16.0,8012.0,2000.0,1.0,2312864.4
t_s_iv_n_cc93278431,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,6.292400000000001,0.27230174439397187,7.4566,0.09066553920867602,3.919199999999999,0.14991784416806414,3.8344,0.14081704442289644,3999.0,16.0,16012.0,4000.0,1.0,4621522.6
t_s_iv_n_d4b7f4e1c3,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,9.5262,0.4712275034418089,11.2864,0.2598604240741558,6.6012,0.3524788787998512,5.7508,0.21659215128900675,5999.0,16.0,24012.0,6000.0,1.0,6933399.4
t_s_iv_n_b58bb30341,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,12.886600000000001,0.8531285014580159,15.443599999999998,0.5655265157355575,9.106399999999999,0.7105149118772949,7.628200000000001,0.33063962254999,7999.0,16.0,32012.0,8000.0,1.0,9240370.4
t_s_iv_n_a3011715f2,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,16.2288,1.749848496299037,18.729,0.9274142547966358,11.5428,1.6621308492414189,9.1594,0.22499919999857756,9999.0,16.0,40012.0,10000.0,1.0,11550777.8
t_s_iv_n_56b0d63e77,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,19.5382,2.983163046164255,22.338800000000003,1.1334773751601748,14.237800000000002,2.390477558982724,11.329199999999998,0.7080300558592127,11999.0,16.0,48012.0,12000.0,1.0,13862638.6
t_s_iv_n_757930c85d,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,20.947400000000002,2.7323844239052457,26.460999999999995,2.096128908249681,14.430599999999998,1.7621975598666573,13.2024,0.6814503943795172,13999.0,16.0,56012.0,14000.0,1.0,16176902.2
t_s_iv_n_e7742c212c,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,22.4678,0.510822239139997,29.831,1.2389815172148453,14.9288,0.4940341688587947,15.8322,1.1750697681414495,15999.0,16.0,64012.0,16000.0,1.0,18489077.0
t_s_iv_n_ac9deb479a,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,26.2038,1.6410523940447483,33.0222,1.1263312834153192,17.3148,0.7784865830571513,16.392000000000003,0.1291262947660151,17999.0,16.0,72012.0,18000.0,1.0,20797173.6
t_s_iv_n_dae6990aff,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,44.5426,23.22991088747436,67.75619999999999,35.05855504381206,20.035600000000002,0.9990638818413968,30.9296,14.779214019696717,19999.0,16.0,80012.0,20000.0,1.0,23104963.2
t_s_iv_n_100098c4e5,2273135745,set,5,22000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,46.8546,32.213259397955994,44.8738,9.181858077753109,21.0034,0.607935720286281,21.9846,2.3842641296634906,21999.0,16.0,88012.0,22000.0,1.0,25415272.0
t_s_iv_n_a1e81ad201,2273135745,set,5,24000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(1, 1)",dataset_size,35.157599999999995,2.0327123357720827,46.0712,1.6097258648602244,22.93,0.9208376621316058,22.767,0.35800111731669193,23999.0,16.0,96012.0,24000.0,1.0,27728175.8
