uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_9d4f254af4,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,3.4326,0.08976992814968723,4.106,0.0781152993977491,2.9958,0.07284888468604044,3.0026,0.29095814131933145,1999.0,16.0,23996.0,2000.0,3.0,2344618.6
t_s_iv_n_2457ea5e7d,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,5.993799999999999,0.17448140302049378,7.4276,0.15643350024850816,5.5838,0.21385640041859863,5.5334,0.5728066340397953,3999.0,16.0,47996.0,4000.0,3.0,4685238.8
t_s_iv_n_5d84597217,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,9.8394,0.7361115676308857,11.9568,0.558493115445482,9.668800000000001,0.7668335934216758,7.907000000000001,0.07440430095095298,5999.0,16.0,71996.0,6000.0,3.0,7028985.2
t_s_iv_n_5f0a461fac,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,12.558,1.3001378388463283,15.559000000000001,1.0438844763669968,12.484,1.6330521118445667,10.560599999999999,0.6366765583873805,7999.0,16.0,95996.0,8000.0,3.0,9367891.0
t_s_iv_n_8b817789f6,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,16.554,0.5239240402959182,25.0088,13.280238783997822,18.919199999999996,0.7956279029797781,13.253,1.1604238880684943,9999.0,16.0,119996.0,10000.0,3.0,11710401.2
t_s_iv_n_e980ae8c03,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,18.092400000000005,1.84520336006631,21.849,0.5871241776660197,19.6978,4.414750475394957,15.4428,0.6221071933356824,11999.0,16.0,143996.0,12000.0,3.0,14054306.4
t_s_iv_n_1c0207efee,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,21.779200000000003,1.205603317845467,31.597799999999996,8.776351141562191,23.281,2.6686629611099266,18.9762,0.8915914759574581,13999.0,16.0,167996.0,14000.0,3.0,16400508.2
t_s_iv_n_92e3aeb920,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,23.4854,0.9855491058288267,28.860599999999998,0.7480140640389061,24.9086,2.9823554851828113,20.893,1.0077146421482628,15999.0,16.0,191996.0,16000.0,3.0,18744835.2
t_s_iv_n_9c732847ae,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,26.6548,3.7237484018123457,33.7408,4.069580292855764,25.609799999999996,2.8346692505475835,23.1572,1.9099806700592552,17999.0,16.0,215996.0,18000.0,3.0,21085290.0
t_s_iv_n_1eb139318d,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,27.2596,0.4184612765836281,36.17,0.9999033953337694,25.649400000000004,0.2960943093002628,27.477800000000002,4.307716165208659,19999.0,16.0,239996.0,20000.0,3.0,23425013.2
t_s_iv_n_35e4774d49,2273135745,set,5,22000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,29.554999999999996,0.3310268871255015,39.806799999999996,1.2445276051578775,27.994800000000005,0.5664575535730815,28.1182,0.7623748159534125,21999.0,16.0,263996.0,22000.0,3.0,25767332.0
t_s_iv_n_ccd18f29c3,2273135745,set,5,24000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(9, 3)",dataset_size,31.561,0.4465731742950973,40.986200000000004,0.26138201927447074,34.1632,3.32197106549711,29.5114,0.24159023159060056,23999.0,16.0,287996.0,24000.0,3.0,28112139.4
