uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_ffccb92a99,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,3.4992000000000005,0.7290929707520161,4.4566,0.6190682030277438,2.3362,0.5292388496699766,2.1926,0.12592315116768638,1999.0,16.0,16004.0,2000.0,2.0,2336584.8
t_s_iv_n_82640062d0,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,6.1896,0.4238587500571388,7.6328000000000005,0.3044065702313275,4.1154,0.1764546400636718,4.755,1.2494017768516257,3999.0,16.0,32004.0,4000.0,2.0,4661224.2
t_s_iv_n_a2bd12aa52,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,9.049000000000001,0.8036678418351706,11.1396,0.1553416879012198,7.302,2.55469818178195,6.2482,0.15821428506933252,5999.0,16.0,48004.0,6000.0,2.0,6989036.2
t_s_iv_n_09e03a19e4,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,11.7164,0.5180639342783858,14.2976,0.17638208525811244,8.734200000000001,0.7042804555005062,8.0932,0.2325367927877224,7999.0,16.0,64004.0,8000.0,2.0,9311974.0
t_s_iv_n_8e81865790,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,16.751600000000003,1.1298680630940947,18.783800000000003,0.6628711488668064,14.494200000000001,1.6937237555162297,10.1722,0.32926791523013627,9999.0,16.0,80004.0,10000.0,2.0,11638432.0
t_s_iv_n_7d61ba6857,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,19.372799999999998,2.131525688327495,22.7532,0.36211843366500973,16.6698,3.518664712643136,12.1204,0.5096640462108349,11999.0,16.0,96004.0,12000.0,2.0,13966315.0
t_s_iv_n_c64d3ed783,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,21.2028,0.8415714824065739,27.220000000000006,3.63002793377682,20.9988,3.160375572617913,16.410999999999998,3.860822347635281,13999.0,16.0,112004.0,14000.0,2.0,16296547.2
t_s_iv_n_6a79ce5bca,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,23.354799999999997,0.9982090762961434,34.506600000000006,6.924460227339025,17.2668,1.3869154840868991,19.0464,2.549325448035225,15999.0,16.0,128004.0,16000.0,2.0,18624797.8
t_s_iv_n_201dd43e37,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,29.2322,7.209882423451856,36.27720000000001,5.116083869523642,24.326399999999996,11.77169382204617,20.2016,3.0339674091855375,17999.0,16.0,144004.0,18000.0,2.0,20949073.4
t_s_iv_n_f56f21049f,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(5, 2)",dataset_size,28.267199999999995,0.23233458631895498,37.063199999999995,0.5497655500301921,20.3802,0.3341193798629459,20.9174,0.5226660884350539,19999.0,16.0,160004.0,20000.0,2.0,23272829.8
