uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_ni_nir_8409fc5eb5,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",1,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,9.104000000000003,0.11054229959612746,9.094,0.22967455235615458,6.263999999999999,0.16106644591596364,6.5236,0.17090184317320875,0.0,1.0,10000.0,10000.0,1.0,80120.8
t_s_iv_ni_nir_62a923c72e,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",2,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,12.4302,0.6338682512951728,13.012,0.843149334341195,7.7988,0.1500738484880027,8.0016,0.1851017017749973,9999.0,4.0,39998.0,10000.0,2.0,30299572.2
t_s_iv_ni_nir_941fd7c706,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",3,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,18.5108,0.9474874985982671,16.1572,0.9218367317480901,9.5042,0.45124113287686873,9.279,0.2494554068365727,9999.0,9.0,60000.0,10000.0,2.0,60341803.8
t_s_iv_ni_nir_b314b9ed45,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",4,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,25.456799999999998,1.2666190271743116,18.017000000000003,0.32387837223254023,10.263800000000002,0.48435251625236725,10.393,0.21374096472131904,9999.0,16.0,80004.0,10000.0,2.0,90637579.8
t_s_iv_ni_nir_2f2e0de118,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",5,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,33.056000000000004,3.052276330871765,24.873799999999996,7.735165761636915,11.407,0.3133151767789105,12.4384,1.2184522313164352,9999.0,25.0,100010.0,10000.0,2.0,120905414.2
t_s_iv_ni_nir_af66ac0e4e,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",6,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,45.508,11.2781277701576,26.649400000000004,5.057247931434647,14.758600000000001,2.2366593482244905,14.764199999999999,3.918123397750509,9999.0,36.0,120018.0,10000.0,2.0,150623451.6
t_s_iv_ni_nir_08b3ef6d1f,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",7,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,47.9336,1.3500394957185515,28.3986,3.8996727349868734,17.2372,2.884996388212644,16.3556,2.6470131544818587,9999.0,49.0,140028.0,10000.0,2.0,181099086.6
t_s_iv_ni_nir_3030c6deec,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",8,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,56.51899999999999,4.626858026782321,28.8536,0.47941739643029235,19.910600000000002,2.549293204007731,15.7666,0.6932721255033983,9999.0,64.0,160040.0,10000.0,2.0,211853352.8
t_s_iv_ni_nir_330ba4eb7f,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",9,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,67.58239999999999,10.535357205144969,42.419,15.724114715938702,22.0212,3.619575908860041,18.668599999999998,2.0745785692520786,9999.0,81.0,180054.0,10000.0,2.0,241270901.0
t_s_iv_ni_nir_91b53ef6bd,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",10,,,,"(1000, 5000)","(2, 15)","(4, 2)",num_intervals,72.9284,13.082806023174083,33.6988,2.1308188472979106,19.4314,2.3000153564704733,18.3844,1.5168907145869146,9999.0,100.0,200070.0,10000.0,2.0,271284673.2
