uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_ni_nir_2939350709,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",1,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,9.1758,0.30243438957896324,9.0284,0.2795700985441757,6.7379999999999995,0.2771642112539062,6.3549999999999995,0.39554013702783675,9999.0,1.0,10000.0,10000.0,1.0,272318408.4
t_s_iv_ni_nir_2472f3c7e1,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",2,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,12.636,0.8151988714418096,12.615800000000002,0.7643952904093537,8.882,0.8438488016226601,7.6362,0.6311067738505113,9999.0,4.0,20002.0,10000.0,1.0,30059562.6
t_s_iv_ni_nir_df7bffa02b,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",3,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,20.565,1.9812110437810506,15.3316,0.4995075975398171,11.884599999999999,1.5270711312836738,8.377600000000001,0.304025393676252,9999.0,9.0,30006.0,10000.0,1.0,60087523.4
t_s_iv_ni_nir_9081e174e4,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",4,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,28.8336,2.4564605919900284,17.5916,0.5821132535855884,13.556799999999999,1.872393377471732,9.007200000000001,0.30540425668284354,9999.0,16.0,40012.0,10000.0,1.0,90324744.8
t_s_iv_ni_nir_7d35c37e24,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",5,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,34.327600000000004,1.9378481467854993,20.2066,0.7261351389376504,13.898,1.4484172050897492,9.4498,0.16112032770572474,9999.0,25.0,50020.0,10000.0,1.0,120533093.4
t_s_iv_ni_nir_36b0647e66,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",6,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,39.3664,1.6175792530815913,22.5908,0.646266632281135,13.184800000000001,2.9223512040820823,10.462,0.39520172064402775,9999.0,36.0,60030.0,10000.0,1.0,150535233.8
t_s_iv_ni_nir_54173b587c,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",7,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,46.706599999999995,1.2031649263504993,26.282799999999998,0.2922618004461073,11.793800000000001,0.1351760333787023,11.9106,0.1822971201089033,9999.0,49.0,70042.0,10000.0,1.0,180558140.4
t_s_iv_ni_nir_69ed3ca538,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",8,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,54.1382,3.0610334464033553,28.494,0.110540490319159,12.996,0.3395691387626381,12.752600000000001,0.09508648694741059,9999.0,64.0,80056.0,10000.0,1.0,210668748.0
t_s_iv_ni_nir_3cd77ce120,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",9,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,60.4788,3.4920988760342992,31.5524,0.3529354615223571,13.770199999999999,0.1774152191893356,14.0108,0.38373501273665384,9999.0,81.0,90072.0,10000.0,1.0,240570245.0
t_s_iv_ni_nir_b94584db18,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",10,,,,"(1000, 5000)","(2, 15)","(1, 1)",num_intervals,69.65119999999999,1.6993183809986843,34.02759999999999,0.25704832230536023,14.841800000000001,0.14679564026223668,15.364800000000002,0.5342390476181983,9999.0,100.0,100090.0,10000.0,1.0,270513206.6
