uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_n_5b371af7d4,2273135745,set,5,2000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,3.5020000000000002,0.19806968470717567,4.0506,0.097269933689707,4.265199999999999,0.19526740639441098,3.9456,0.23161053516625707,1999.0,20.0,39980.0,2000.0,5.0,2376617.0
t_s_iv_n_a8a8e17614,2273135745,set,5,4000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,6.4224000000000006,0.3841403910030811,7.676400000000001,0.31356441124591955,8.490200000000002,0.46927322531761806,7.331,0.0809444253793924,3999.0,20.0,79980.0,4000.0,5.0,4749198.8
t_s_iv_n_6e937dd566,2273135745,set,5,6000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,9.4962,0.35358303126705654,11.281200000000002,0.22874037684676465,13.303000000000003,0.6286098949268936,10.8402,0.15803341418826616,5999.0,20.0,119980.0,6000.0,5.0,7124820.4
t_s_iv_n_a75d923cc2,2273135745,set,5,8000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,13.4946,1.0708668638070749,15.457400000000002,0.7040521571588295,20.2298,2.704347936194602,14.532,0.28400915478202476,7999.0,20.0,159980.0,8000.0,5.0,9495660.2
t_s_iv_n_f9e88c8d9a,2273135745,set,5,10000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,14.954199999999997,1.2761340681918965,18.131800000000002,0.848523281943401,23.0046,3.2507449361646326,17.9148,0.973599794576807,9999.0,20.0,199980.0,10000.0,5.0,11870270.6
t_s_iv_n_bf62ee64d9,2273135745,set,5,12000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,17.744600000000002,1.182099420522656,21.1804,0.4017594305053718,27.158000000000005,4.122058466349065,20.827800000000003,0.3441089362396738,11999.0,20.0,239980.0,12000.0,5.0,14246217.6
t_s_iv_n_5eae20ab84,2273135745,set,5,14000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,19.088199999999997,0.13913216738051573,24.808799999999998,0.4928295445689112,25.563,0.9773386311816397,24.9816,0.4797201684315545,13999.0,20.0,279980.0,14000.0,5.0,16624353.8
t_s_iv_n_70c6a1e94d,2273135745,set,5,16000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,21.8998,0.8050516505169093,28.404200000000003,0.6026097908265344,28.412,0.3538536420612339,28.791600000000006,0.9758501114413011,15999.0,20.0,319980.0,16000.0,5.0,19000837.6
t_s_iv_n_c6e608f60e,2273135745,set,5,18000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,24.395999999999997,0.24898433685675841,32.1068,1.3290371552368276,32.2188,0.5012845100339722,31.4438,0.5198866799601618,17999.0,20.0,359980.0,18000.0,5.0,21373650.6
t_s_iv_n_1a5bf171c8,2273135745,set,5,20000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,28.8114,2.7349267339363945,37.480399999999996,2.029878873233573,38.290800000000004,2.11919431860318,37.7744,2.4563802311531506,19999.0,20.0,399980.0,20000.0,5.0,23745308.4
t_s_iv_n_570cef03fe,2273135745,set,5,22000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,29.391399999999997,0.8602570778552188,39.037400000000005,1.372396823079971,41.3,1.5120708978086985,38.794399999999996,1.571413962010013,21999.0,20.0,439980.0,22000.0,5.0,26119637.2
t_s_iv_n_ee4bb0e0e1,2273135745,set,5,24000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,33.1106,0.658408566165416,44.650999999999996,1.4550316835038335,44.0556,1.0425498741067505,43.6286,0.5842830136158343,23999.0,20.0,479980.0,24000.0,5.0,28496348.2
t_s_iv_n_e91dc7e5c3,2273135745,set,5,26000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,35.68,0.19359648757144318,47.4134,0.595972348351835,47.866,0.7508936009848539,49.3836,2.960517697971085,25999.0,20.0,519980.0,26000.0,5.0,30870823.4
t_s_iv_n_5f00dd9bab,2273135745,set,5,28000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,39.445,2.1704192221780576,68.917,36.06643305346399,52.346199999999996,1.3584640444266454,52.5558,3.124305324388127,27999.0,20.0,559980.0,28000.0,5.0,33245024.4
t_s_iv_n_e3f8b2d17a,2273135745,set,5,30000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,39.505,1.226680561515508,53.8036,3.408335229991323,54.1398,3.2431523800154682,52.6004,1.4322302328885546,29999.0,20.0,599980.0,30000.0,5.0,35620847.2
t_s_iv_n_3a30bf9b1b,2273135745,set,5,32000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,41.7904,0.9711962932383946,55.02239999999999,1.132769808919712,56.1606,1.262435202297529,55.326,1.1128185835975244,31999.0,20.0,639980.0,32000.0,5.0,37999003.4
t_s_iv_n_9f514902cb,2273135745,set,5,34000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,43.3108,0.34331990912267096,57.884800000000006,0.5720746105185919,59.885400000000004,0.690658120925252,57.811800000000005,0.28840762819315247,33999.0,20.0,679980.0,34000.0,5.0,40369734.4
t_s_iv_n_944dc13e84,2273135745,set,5,36000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,47.67280000000001,1.0484928993560227,64.3038,1.0920119779562887,63.62180000000001,1.6339693265174837,62.99100000000001,1.2210639622886286,35999.0,20.0,719980.0,36000.0,5.0,42748599.8
t_s_iv_n_164fc90aa1,2273135745,set,5,38000,0.0,"(1, 4000)","(1, 5)",4,,,,"(250, 500)","(2, 15)","(10, 5)",dataset_size,50.96319999999999,0.9910385259917988,67.35,2.3263155417956516,68.7278,1.8421789706757599,68.07939999999999,1.3574001031383511,37999.0,20.0,759980.0,38000.0,5.0,45121142.6
