uid,master_seed,data_type,num_trials,dataset_size,uncertain_ratio,interval_size_range,mult_size_range,num_intervals,gap_size,interval_width,num_intervals_range,gap_size_range,interval_width_range,reduce_triggerSz_sizeLim,independent_variable,min_time_mean,min_time_std,max_time_mean,max_time_std,sum_time_mean,sum_time_std,sumtest_time_mean,sumtest_time_std,reduce_calls_mean,max_interval_count_mean,total_interval_count_mean,combine_calls_mean,result_size_mean,result_coverage_mean
t_s_iv_ni_nir_f91fa59804,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",1,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,9.322399999999998,0.11068080231006625,9.2846,0.15789566175167694,6.3756,0.12538835671624404,6.621,0.19252843945765524,0.0,1.0,10000.0,10000.0,1.0,80120.8
t_s_iv_ni_nir_8a112fbc95,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",2,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,11.9568,0.40938168009816983,12.6192,0.09408804387381027,7.643800000000001,0.12679022044306096,7.8422,0.428122599263342,5000.0,4.0,30000.0,10000.0,1.0,30059562.6
t_s_iv_ni_nir_05440c09b1,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",3,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,17.6828,0.3463948036561754,15.1146,0.2582739630702251,8.535,0.397558046076293,8.502599999999997,0.10204038416235002,9999.0,9.0,30006.0,10000.0,1.0,60087523.4
t_s_iv_ni_nir_0e57eb960b,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",4,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,25.1272,0.7510604236677636,18.068199999999997,0.1708079623436799,9.2868,0.11414797413883439,9.497,0.13030272445348165,9999.0,16.0,40012.0,10000.0,1.0,90324744.8
t_s_iv_ni_nir_b8d4b784d2,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",5,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,32.3354,1.088511938381936,20.9176,0.18973518387478921,9.992799999999999,0.0962858245018444,10.325,0.22506176929900837,9999.0,25.0,50020.0,10000.0,1.0,120533093.4
t_s_iv_ni_nir_1c50eb3b5d,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",6,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,38.5492,2.4955115227143323,23.5736,0.20630424135242487,10.736,0.2112439348241741,11.060599999999999,0.26059976976198607,9999.0,36.0,60030.0,10000.0,1.0,150535233.8
t_s_iv_ni_nir_5c5c1d370d,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",7,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,48.0028,2.471174004395481,25.728,0.45523488442780885,13.237200000000001,2.5891106890204596,11.541,0.32805670241590873,9999.0,49.0,70042.0,10000.0,1.0,180558140.4
t_s_iv_ni_nir_414d8faab5,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",8,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,54.913799999999995,3.872328467472769,28.7714,1.059841799515381,14.642200000000003,3.032208660366235,12.4942,0.2528876430354004,9999.0,64.0,80056.0,10000.0,1.0,210668748.0
t_s_iv_ni_nir_69d9d80e68,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",9,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,58.382600000000004,3.3342049487096617,29.928800000000003,0.27189292009907146,16.1886,1.1533078686976865,12.990999999999996,0.25240443736194496,9999.0,81.0,90072.0,10000.0,1.0,240570245.0
t_s_iv_ni_nir_e26340b160,2274843684,set,5,10000,0.0,"(1, 50000)","(1, 5)",10,,,,"(1000, 5000)","(2, 15)","(3, 1)",num_intervals,67.92439999999999,3.017706188481576,32.8954,0.6256109334082962,15.7934,0.601105514864071,14.609000000000004,0.5595437427047146,9999.0,100.0,100090.0,10000.0,1.0,270513206.6
